PG,PGC,LOT,PD,WF
1974,5,362172,981,5391060
1974,5,362172,981,5391061
1974,5,362172,981,5391062
1974,5,362172,981,5391063
1974,5,362172,981,5391064
1974,5,362172,981,5391065
1974,5,362172,981,5391066
1974,5,362172,981,5391067
1974,5,362172,981,5391068
1974,5,362172,981,5391069
1974,5,362172,981,5391070
1974,5,362172,981,5391071
1974,5,362172,981,5391072
1974,5,362172,981,5391073
1974,5,362172,981,5391074
1974,5,362172,981,5391075
1974,5,362170,981,5391001
1974,5,362170,981,5391002
1974,5,362170,981,5391003
1974,5,362170,981,5391004
1974,5,362170,981,5391005
1974,5,362170,981,5391006
1974,5,362170,981,5391007
1974,5,362170,981,5391008
1974,5,362170,981,5391009
1974,5,362170,981,5391010
1974,5,362170,981,5391011
1974,5,362170,981,5391012
1974,5,362170,981,5391013
1974,5,362170,981,5391014
1974,5,362170,981,5391015
1974,5,362170,981,5391016
1974,5,362170,981,5391017
1974,5,362170,981,5391018
1974,5,362170,981,5391019
1974,5,362170,981,5391020
1974,5,362170,981,5391021
1974,5,362170,981,5391022
1974,5,362170,981,5391023
1974,5,362170,981,5391024
1974,5,362170,981,5391025
1974,5,362171,981,5391026
1974,5,362171,981,5391027
1974,5,362171,981,5391028
1974,5,362171,981,5391029
1974,5,362171,981,5391030
1974,5,362171,981,5391031
1974,5,362171,981,5391032
1974,5,362171,981,5391033
1974,5,362171,981,5391034
1974,5,362171,981,5391035
1974,5,362171,981,5391036
1974,5,362171,981,5391037
1974,5,362171,981,5391038
1974,5,362171,981,5391039
1974,5,362171,981,5391040
1974,5,362171,981,5391041
1974,5,362171,981,5391042
1974,5,362171,981,5391043
1974,5,362171,981,5391044
1974,5,362171,981,5391045
1974,5,362171,981,5391046
1974,5,362171,981,5391047
1974,5,362171,981,5391048
1974,5,362171,981,5391049
1974,5,362171,981,5391050
1974,5,362172,981,5391051
1974,5,362172,981,5391052
1974,5,362172,981,5391053
1974,5,362172,981,5391054
1974,5,362172,981,5391055
1974,5,362172,981,5391056
1974,5,362172,981,5391057
2064,5,361689,1066,5389930
2064,5,360344,1066,5386201
2064,5,361689,1066,5389932
2064,5,361408,1066,5388405
2064,5,360644,1066,5386758
2064,5,360644,1066,5386756
2078,5,360664,1080,5386805
2078,5,360584,1080,5386690
2078,5,360664,1080,5386816
2078,5,360665,1080,5386824
2078,5,360664,1080,5386825
2078,5,360664,1080,5386826
2078,5,360664,1080,5386828
2078,5,360665,1080,5386829
2078,5,360665,1080,5386839
2078,5,360664,1080,5386807
2078,5,360885,1080,5387524
2078,5,360885,1080,5387525
2078,5,360664,1080,5386802
2084,5,360666,1086,5386877
2086,5,360667,1088,5386921
2086,5,360667,1088,5386886
2160,5,360264,1144,5386076
2164,5,359625,1147,5385946
2166,5,361390,1149,5390068
2174,5,360425,1152,5386430
2701,5,360445,1462,5386378
2701,5,360445,1462,5389829
3150,5,361388,1688,5390174
3150,5,361388,1688,5388317
3150,5,361388,1688,5388833
3799,12,896,543,6105
3963,12,58,55,538321
3963,12,58,55,536495
3963,12,34713,55,296342
3963,12,34713,55,296334
3963,12,47077,55,5386626
4086,12,824,1886,5900
4481,5,359866,2161,5389793
4528,5,359764,2185,5386478
4653,5,362192,2241,5391253
4653,5,362192,2241,5391277
4653,5,362192,2241,5391255
4653,5,362192,2241,5391256
4653,5,362192,2241,5391257
4653,5,362192,2241,5391258
4653,5,362192,2241,5391259
4653,5,362192,2241,5391260
4653,5,362192,2241,5391261
4653,5,362192,2241,5391262
4653,5,362192,2241,5391263
4653,5,362192,2241,5391264
4653,5,362192,2241,5391265
4653,5,362192,2241,5391266
4653,5,362192,2241,5391267
4653,5,362192,2241,5391268
4653,5,362192,2241,5391269
4653,5,362192,2241,5391270
4653,5,362192,2241,5391271
4653,5,362192,2241,5391272
4653,5,362192,2241,5391273
4653,5,362192,2241,5391274
4653,5,362192,2241,5391275
4653,5,362192,2241,5391276
4653,5,362192,2241,5391254
4870,5,361585,2305,5389092
4870,5,361585,2305,5389100
4870,5,361585,2305,5389099
